Accession.Number,species.label,corolla.width,spur.length,blade.length,blade.width,blade.cleft,sepal.length,sepal.width,anther.exsertion
74504,formosa,1.21,1.61,0.31,0.29,0,1.31,0.33,0.92
758475,formosa,1.54,1.92,0.13,0.38,1,1.64,0.58,1.23
485899,formosa,1.28,1.59,0.2,0.39,1,1.6,0.67,1.09
485788,formosa,1.54,2.09,0.22,0.57,1,1.6,0.5,1.15
10548,flavescens,1.73,1.5,0.46,0.48,0,1.8,0.48,0.99
77045,flavescens,2.62,1.45,0.64,0.86,0,2.08,0.79,0.58
49924,flavescens,1.8,1.57,0.51,0.58,0,1.88,0.61,0.58
3252,flavescens,1.68,1.19,0.48,0.41,0,1.96,0.66,0.66
160894,flavescens,2.41,1.47,0.66,0.81,0,1.9,0.74,0.74
24928,flavescens,1.91,1.42,0.64,0.79,0,1.96,0.71,0.69
71048,flavescens,2.16,1.57,0.58,0.71,0,2.11,0.69,0.66
16531,flavescens,2.24,1.78,0.74,0.79,0,2.59,0.79,0.43
73207,flavescens,1.78,1.47,0.46,0.86,0,1.83,0.64,0.66
375077,formosa,1.24,2.17,0.2,0.36,0,2.25,0.52,1.27
374959,formosa,1.57,1.63,0.27,0.45,0,2.48,1.03,0.81
375266,formosa,0.95,1.71,0.14,0.23,1,1.51,0.55,1.11
116056,formosa,1.34,1.24,0.31,0.49,0,1.61,0.44,1
293155,formosa,1.23,1.32,0.23,0.39,0,2.42,0.71,1.12
349286,formosa,1.32,1.8,0.29,0.52,0,2.09,0.67,1.18
20931,formosa,1.48,2.08,0.28,0.29,0,2.15,0.93,1.02
336900,formosa,2.21,1.61,0.42,0.7,0,2.91,0.89,0.82
27556,formosa,1.66,1.84,0.35,0.37,0,2.34,0.78,1.15
15566,flavescens,1.75,1.84,0.36,0.56,0,2.4,0.58,1.08
371564,flavescens,1.71,1.77,0.45,0.66,0,2.4,0.94,1.13
363193,flavescens,1.9,1.81,0.47,0.53,0,1.83,0.6,0.94
373676,flavescens,1.99,2.04,0.29,0.62,0,2.37,0.8,1.12
191612,flavescens,1.98,1.37,0.55,0.59,0,2.16,0.85,0.55
359665,flavescens,1.4,1.89,0.46,0.61,1,1.6,0.56,1.12
89256,flavescens,1.69,1.31,0.5,0.56,0,1.64,0.58,0.65
20775,flavescens,1.87,1.97,0.44,0.68,0,2.53,1,0.92
281012,flavescens,1.94,1.41,0.52,0.69,0,2.47,0.86,0.67
322496,flavescens,1.73,1.39,0.5,0.77,0,2.06,1.01,0.91
126258,flavescens,2.09,1.6,0.65,0.91,0,2.04,0.93,0.58
V132517,flavescens,1.62,1.6,0.42,0.5,0,1.95,0.6,1.02
9675,flavescens,1.87,1.69,0.41,0.7,0,2,0.91,0.79
75576,flavescens,2.31,1.69,0.64,0.7,0,2.49,1.11,0.54
129338,flavescens,2.33,1.83,0.64,0.85,0,2.34,0.74,0.67
153084,flavescens,1.54,1.73,0.49,0.48,0,1.93,0.7,0.87
201682,flavescens,2,1.87,0.52,0.71,0,2.72,0.79,0.84
229625,flavescens,2.26,1.65,0.72,0.83,0,2.31,0.78,0.64
236488,flavescens,1.71,1.54,0.53,0.71,0,1.95,0.79,0.91
